Date,Portfolio Value (₹),Nifty 50,Gold (₹/10g),Portfolio Return %,Nifty 50 Return %,Gold Return %
2024-01-01,1500000,21000,62000,0.00%,0.00%,0.00%
2024-02-01,1520000,21300,61800,1.33%,1.43%,-0.32%
2024-03-01,1540000,22100,64500,2.67%,5.24%,4.03%
2024-04-01,1580000,22800,66200,5.33%,8.57%,6.77%
2024-05-01,1620000,23200,68000,8.00%,10.48%,9.68%
2024-06-01,1650000,23500,68500,10.00%,11.90%,10.48%
2024-07-01,1680000,24100,69800,12.00%,14.76%,12.58%
2024-08-01,1720000,24800,70200,14.67%,18.10%,13.23%
2024-09-01,1750000,25200,71500,16.67%,20.00%,15.32%
2024-10-01,1780000,25600,72800,18.67%,21.90%,17.42%
2024-11-01,1820000,26100,74000,21.33%,24.29%,19.35%
2024-12-01,1850000,26500,75200,23.33%,26.19%,21.29%
